mnc,year,sector,upe_code,upe_name,jur_code,jur_name,total_revenues,profit_before_tax,tax_paid,employees,tangible_assets,tax_accrued,unrelated_revenues,related_revenues,stated_capital,accumulated_earnings,currency
ACS,2021,Construction,ESP,Spain,OTHER,Other,NA,67561000,4331000,NA,NA,NA,NA,NA,NA,NA,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,ARG,Argentina,120059039,4581398,3430910,265,2861863,1638901,120054922,4117,26921343,50594244,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,AUS,Australia,423213922,5085172,1858,464,4578585,0,422638269,575653,221555600,-189624898,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,AUT,Austria,69977885,1355574,19411,66,759601,24095,69770281,207604,2985517,-6915600,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,BEL,Belgium,431898050,8537834,5041082,550,3430076,4725871,431096786,801264,26742390,583363949,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,BRA,Brazil,67187837,2288238,1721462,306,1268372,608192,66409427,778410,7328301,-46349975,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,BGR,Bulgaria,67099995,2131891,253042,87,1621523,287278,65244070,1855925,109748,2706173,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,CAN,Canada,320188804,15231644,12727834,624,1222525,4292180,315220843,4967961,74221777,10888114,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,CHL,Chile,117623911,169950,1133635,360,2394762,1481966,117623911,0,3560470,12016084,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,CHN,China,9900409,-713787,130521,88,291168,582372,9207132,693277,12584679,-16193821,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,COL,Colombia,178401948,3763175,8507632,412,1327409,1521186,178401948,0,112448,12416463,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,HRV,Croatia,6298197,13724,36266,11,0,0,6290176,8021,0,0,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,CZE,Czechia,73024444,764052,183357,276,1048825,201134,43070335,29954109,111234,2921546,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,DNK,Denmark,28737291,-503093,0,26,0,0,25557527,3179764,0,-8581,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,ECU,Ecuador,11427463,45175,332257,31,73088,203812,11427463,0,116201,277229,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,FIN,Finland,83431615,-386671,809219,133,1493699,-63290,83431615,0,66755,7653068,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,FRA,France,5119744456,194281579,41263803,6004,98098247,55367690,5039350338,80394118,631167182,-470311698,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,DEU,Germany,1232784381,-11321733,20090383,1854,15182885,2350846,1217633739,15150642,12475564,-2034822197,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,GRC,Greece,79527758,1884224,490618,65,261842,589527,79527758,0,2026766,6932609,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,HKG,Hong Kong,59986567,27135888,78881,135,693920,1573444,58885543,1101024,24582114,75917866,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,HUN,Hungary,23989001,-15258,209477,69,227647,572504,23610143,378858,202192,-2209364,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,IND,India,149935220,2176710,253613,975,1538955,-229995,146905135,3030085,380846,2940909,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,IDN,Indonesia,415692,98659,0,3,3819,-10840,277639,138053,147059,151396,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,IRL,Ireland,35766360,2171207,-939,49,144949,213541,35053828,712532,8075360,-157708,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,ITA,Italy,2323399586,110791418,15982387,2413,19525710,33136485,2322182086,1217500,2127028,589412838,EUR
